City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Katherine,-14.4667,132.2667,57.2,62,91,6.91,AU,1621104025
81,Piaçabuçu,-10.4056,-36.4344,79.07,76,67,9.53,BR,1621104025
82,Chokurdakh,70.6333,147.9167,26.2,89,100,8.39,RU,1621104026
83,Thayetmyo,19.3167,95.1833,85.71,59,86,4.85,MM,1621104026
84,Burgeo,47.6167,-57.6152,46.62,70,86,10.04,CA,1621104027
85,Hlotse,-28.8718,28.045,50.86,39,0,3.47,LS,1621104027
86,Hilo,19.7297,-155.09,84.2,54,20,5.75,US,1621103757
87,Tasiilaq,65.6145,-37.6368,33.8,75,1,6.91,GL,1621104028
88,Upernavik,72.7868,-56.1549,33.58,80,100,3.71,GL,1621104028
89,Dwārka,22.2394,68.9678,83.8,77,100,12.95,IN,1621104028
90,Kabare,-2.4683,28.8242,61.63,96,90,1.23,CD,1621104029
91,Yellowknife,62.456,-114.3525,30.0,93,90,13.8,CA,1621104021
92,Coyhaique,-45.5752,-72.0662,51.8,58,75,2.3,CL,1621104029
93,Elbistan,38.2059,37.1983,69.89,42,6,3.29,TR,1621104030
94,Raudeberg,61.9875,5.1352,57.2,67,40,1.14,NO,1621104030
95,Ribeira Grande,38.5167,-28.7,66.2,94,75,17.27,PT,1621104030
96,Mogadishu,2.0371,45.3438,80.08,85,22,18.95,SO,1621103766
97,Kahului,20.8947,-156.47,73.4,73,40,12.66,US,1621104031
98,Naze,28.3667,129.4833,72.37,92,100,11.16,JP,1621104032
99,Prado,-17.3411,-39.2208,75.22,63,100,7.94,BR,1621104032
100,Kruisfontein,-34.0033,24.7314,61.0,87,100,1.01,ZA,1621104032
101,Kaitangata,-46.2817,169.8464,44.01,81,100,4.0,NZ,1621104033
102,Fort Morgan,40.2503,-103.8,60.8,72,90,8.05,US,1621104034
103,Rondonópolis,-16.4708,-54.6356,92.8,26,87,3.6,BR,1621104034
104,Lüderitz,-26.6481,15.1594,63.19,90,12,4.0,NA,1621104034
105,Woodward,36.4337,-99.3904,75.2,60,40,12.66,US,1621104035
106,New Norfolk,-42.7826,147.0587,46.0,65,100,6.26,AU,1621104035
107,Lugazi,0.3772,32.9197,71.6,83,20,0.58,UG,1621104036
108,Cabo San Lucas,22.8909,-109.9124,93.99,45,1,5.75,MX,1621104007
109,Dubti,11.7361,41.0853,97.0,23,7,16.73,ET,1621104036
110,Bethel,41.3712,-73.414,77.0,20,40,6.91,US,1621104037
111,Nikolskoye,59.7035,30.7861,60.8,67,75,13.42,RU,1621104037
112,Sindor,62.8629,51.8905,56.66,72,99,4.18,RU,1621104037
113,Balkhash,46.844,74.9804,62.94,42,6,6.53,KZ,1621104038
114,Lagoa,39.05,-27.9833,63.77,92,100,22.97,PT,1621104038
115,Bilibino,68.0546,166.4372,27.68,91,100,1.83,RU,1621104039
116,Atuona,-9.8,-139.0333,79.61,68,3,18.63,PF,1621104039
117,La Ronge,55.1001,-105.2842,53.6,71,100,9.22,CA,1621104039
118,Salalah,17.0151,54.0924,84.2,84,75,4.61,OM,1621104040
119,Kambove,-10.8764,26.5969,60.33,70,0,3.4,CD,1621104040
120,Tazovsky,67.4667,78.7,13.42,93,9,4.76,RU,1621104041
121,Rodrigues Alves,-7.738,-72.6509,84.2,74,75,4.61,BR,1621104041
122,Lavrentiya,65.5833,-171.0,31.59,86,47,5.19,RU,1621104041
123,Provideniya,64.3833,-173.3,42.75,52,33,6.67,RU,1621104042
124,Dubbo,-32.25,148.6167,32.0,93,0,4.21,AU,1621103966
125,Roald,62.5833,6.1333,57.2,72,0,6.91,NO,1621104043
126,Boulder City,35.9786,-114.8325,89.6,7,1,19.57,US,1621103754
127,Igarka,67.4667,86.5833,6.21,97,43,6.76,RU,1621104043
128,East London,-33.0153,27.9116,62.6,82,0,5.75,ZA,1621103885
129,Vila Franca do Campo,37.7167,-25.4333,66.2,88,75,11.5,PT,1621104044
130,Talnakh,69.4865,88.3972,12.06,96,98,2.66,RU,1621104044
131,Humboldt,40.6665,-123.9178,55.0,100,90,10.36,US,1621104045
132,Grindavik,63.8424,-22.4338,44.6,61,75,13.8,IS,1621104045
133,Xinzhi,36.4989,111.7047,56.84,93,100,4.61,CN,1621104045
134,Quzhou,28.9594,118.8686,78.12,77,100,4.0,CN,1621103947
135,Miles City,46.4083,-105.8406,69.8,35,1,3.44,US,1621104046
136,Kembé,4.6228,21.8865,69.51,97,100,2.26,CF,1621104047
137,George Town,5.4112,100.3354,82.99,89,20,1.14,MY,1621104010
138,Yangjiang,21.85,111.9667,79.81,91,13,8.46,CN,1621104047
139,Santa Barbara,34.7333,-120.0343,66.99,71,90,6.91,US,1621104035
140,Kenora,49.8167,-94.4337,62.6,55,75,5.75,CA,1621104048
141,Codrington,-38.2667,141.9667,50.41,81,100,9.19,AU,1621104048
142,Hambantota,6.1241,81.1185,78.8,94,20,5.75,LK,1621104048
143,Haines Junction,60.7522,-137.5108,39.2,87,100,3.44,CA,1621104049
144,Tabou,4.423,-7.3528,80.28,80,98,6.78,CI,1621104049
145,Palmas Bellas,9.2319,-80.0867,90.0,74,37,21.99,PA,1621104050
146,Qena,26.1615,32.7183,93.2,15,0,6.91,EG,1621104050
147,Cherskiy,68.75,161.3,34.61,74,100,8.1,RU,1621104050
148,Bathsheba,13.2167,-59.5167,84.2,58,75,21.85,BB,1621104051
149,Acapulco de Juárez,16.8634,-99.8901,89.6,66,90,5.75,MX,1621104051
150,Banda Aceh,5.5577,95.3222,80.49,81,96,3.56,ID,1621103770
151,Saskylakh,71.9167,114.0833,8.83,94,100,8.79,RU,1621104052
152,Carnarvon,-24.8667,113.6333,62.6,72,100,9.22,AU,1621104052
153,Kavaratti,10.5669,72.642,83.97,78,100,27.78,IN,1621104053
154,San Quintín,30.4833,-115.95,64.4,62,0,15.17,MX,1621104053
155,Esperance,-33.8667,121.9,51.8,82,82,9.22,AU,1621104054
156,Karratha,-20.7377,116.8463,72.21,48,0,9.95,AU,1621104054
157,Pacific Grove,36.6177,-121.9166,55.0,87,83,4.0,US,1621104054
158,Padang,-0.9492,100.3543,78.35,89,100,4.63,ID,1621104055
159,Touros,-5.1989,-35.4608,82.4,74,40,9.22,BR,1621104055
160,Yatou,37.15,122.3833,57.56,94,100,11.54,CN,1621103827
161,Takoradze,4.8845,-1.7554,81.21,79,8,8.37,GH,1621103826
162,Pangnirtung,66.1451,-65.7125,23.0,86,20,12.66,CA,1621104056
163,Udachny,66.4167,112.4,29.14,96,100,23.44,RU,1621104057
164,Bitkine,11.9801,18.2138,97.3,13,28,4.23,TD,1621104057
165,Mahébourg,-20.4081,57.7,77.0,73,40,14.97,MU,1621104057
166,Stephenville,32.2207,-98.2023,75.2,64,40,13.8,US,1621104058
167,Castro,-24.7911,-50.0119,66.69,54,7,2.91,BR,1621104058
168,Iqaluit,63.7506,-68.5145,26.6,68,20,8.05,CA,1621104058
169,Kununurra,-15.7667,128.7333,68.0,42,6,6.91,AU,1621104059
170,Alice Springs,-23.7,133.8833,44.6,81,100,5.75,AU,1621103835
171,Fukuechō,32.6881,128.8419,71.69,97,100,15.93,JP,1621104059
172,Shalinskoye,55.7228,93.7594,51.89,88,100,14.7,RU,1621104060
173,Khovd,48.0056,91.6419,50.86,39,81,2.01,MN,1621104060
174,Wanning,18.8003,110.3967,81.12,89,11,10.83,CN,1621104061
175,Meulaboh,4.1363,96.1285,77.25,89,100,3.51,ID,1621104061
176,Husavik,66.0449,-17.3389,39.2,56,90,10.36,IS,1621104061
177,Fairbanks,64.8378,-147.7164,59.0,47,90,4.61,US,1621104042
178,Synya,65.3718,58.0387,40.15,86,99,5.48,RU,1621104062
179,Nizhniy Kuranakh,58.8353,125.4869,38.12,64,0,2.75,RU,1621104062
180,Souillac,-20.5167,57.5167,77.0,73,40,14.97,MU,1621104063
181,Guerrero Negro,27.9769,-114.0611,66.2,56,96,14.2,MX,1621104063
182,Fuerte Olimpo,-21.0415,-57.8738,88.63,33,1,4.52,PY,1621104064
183,Inhambane,-23.865,35.3833,75.2,88,0,4.61,MZ,1621104064
184,Peleduy,59.6289,112.7406,36.23,98,100,5.3,RU,1621104065
